respid,prob_scn_ann_1,prob_scn_ann_2,prob_scn_ann_3,prob_scn_ann_4,prob_scn_ltci_1,prob_scn_ltci_2,prob_scn_ltci_3,prob_scn_ltci_4,prob_scn_rmr_1,prob_scn_rmr_2,prob_scn_rmr_3,prob_scn_rmr_4
87,0.0,0.0,0.0,0.5,0.5,0.25,0.2,0.2,0.0,0.0,0.0,0.0
94,0.0,0.5,0.6,0.0,0.6,0.3,0.6,0.8,0.25,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,0.0,0.0,0.0,0.0,0.6,0.25,0.25,0.6,0.5,0.6,0.75,0.15
171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.65,0.0,0.0,0.0,0.0
346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,0.0,0.5,0.65,0.8,0.5,0.5,0.65,0.0,0.0,0.0,0.0,0.0
366,0.5,0.5,0.0,0.0,0.5,0.6,0.5,0.6,0.0,0.0,0.0,0.0
395,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0
406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,0.0,0.0,0.0,0.0,0.0,0.25,0.05,0.0,1.0,0.9,0.5,0.6
426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,0.1,0.05,0.1,0.0,0.1,0.05,0.25,0.25,0.0,0.0,0.0,0.0
442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
471,0.5,0.5,0.5,0.25,0.75,0.5,0.25,0.4,0.5,0.0,0.25,0.0
486,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.25,0.2,1.0,0.25
496,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.6,0.5
504,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.9,0.9,0.9,0.9
538,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.4,0.0
561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
626,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
634,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.45,0.2,0.0,0.0
646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
674,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
712,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
731,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
738,0.1,0.0,0.1,0.0,0.95,0.5,1.0,0.95,0.0,0.0,0.75,0.5
751,0.2,0.4,0.0,0.4,0.4,0.3,0.4,0.4,0.2,0.2,0.1,0.5
793,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0
795,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5
817,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.75,0.0,0.0,0.0,0.0
833,0.05,0.0,0.25,0.05,0.5,0.2,0.65,0.4,0.1,0.1,0.1,0.05
864,0.2,0.1,0.1,0.05,0.15,0.2,0.1,0.05,0.1,0.05,0.07,0.2
881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
897,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
940,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
941,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.75,0.0
944,0.9,0.5,1.0,0.6,0.5,0.0,0.1,0.5,0.0,0.5,0.0,0.9
950,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0
974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
983,0.0,0.0,0.0,0.0,0.25,0.0,0.1,0.0,0.0,0.0,0.0,0.0
985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
999,0.2,0.0,0.0,0.0,0.5,0.0,0.4,0.3,0.0,0.0,0.0,0.0
1006,0.6,0.5,0.3,0.7,0.8,0.9,0.5,0.6,0.0,0.0,0.0,0.0
1011,0.3,0.0,0.0,0.0,0.5,0.3,0.5,0.5,0.0,0.0,0.0,0.0
1014,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.5,0.8
1019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1035,0.0,0.0,0.0,0.2,0.0,0.2,0.01,0.01,0.0,0.0,0.0,0.0
1041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1047,0.1,0.15,0.1,0.15,0.05,0.03,0.05,0.03,0.05,0.02,0.05,0.02
1048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1066,0.0,0.0,0.0,0.0,0.75,0.75,0.1,0.1,0.3,0.5,0.0,0.0
1068,0.0,0.0,0.0,0.0,0.5,0.6,0.8,0.4,0.08,0.0,0.0,0.0
1078,0.5,0.6,0.6,0.7,0.2,0.2,0.4,0.4,0.05,0.05,0.1,0.01
1105,0.5,0.6,0.1,0.75,0.5,0.6,0.75,0.75,0.0,0.0,0.0,0.0
1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1112,0.1,0.75,0.1,0.8,0.75,0.85,0.75,1.0,0.15,0.25,0.1,0.5
1114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1119,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.1,0.1,0.1,0.0
1145,0.5,0.25,0.1,0.1,0.5,0.25,0.25,0.1,0.5,0.25,0.25,0.5
1149,0.05,0.05,0.05,0.05,0.5,0.33,0.05,0.33,0.05,0.05,0.05,0.05
1169,0.3,0.0,0.4,0.0,0.2,0.1,0.0,0.0,0.0,0.4,0.2,0.0
1179,0.0,0.0,0.0,0.0,0.25,0.0,0.1,0.5,0.1,0.25,0.6,0.6
1188,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.1,0.0,0.0,0.0,0.0
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1209,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1212,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.9,0.0,0.0,0.0,0.0
1227,0.0,0.0,0.0,0.0,0.3,0.0,0.15,0.3,0.0,0.0,0.0,0.0
1238,0.2,0.0,0.05,0.1,0.2,0.2,0.1,0.3,0.0,0.0,0.0,0.0
1248,0.4,0.0,0.0,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0
1257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1265,0.5,0.1,0.9,1.0,0.5,0.0,0.2,0.1,0.0,0.0,0.0,0.0
1268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.25,0.0,0.0,0.0,0.0
1290,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1320,0.5,0.0,0.5,0.1,0.5,0.25,0.5,0.75,0.0,0.0,0.0,0.0
1323,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0
1324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1332,0.5,0.0,0.0,0.2,0.1,0.0,0.05,0.0,0.1,0.0,0.0,0.1
1355,0.25,0.0,0.25,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0
1364,0.5,0.2,0.1,0.2,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1
1370,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374,0.0,0.0,0.75,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1389,0.0,0.0,0.0,0.0,0.5,0.75,0.5,0.67,0.5,0.5,0.33,1.0
1404,0.1,0.1,0.2,0.1,0.1,0.1,0.3,0.1,0.0,0.0,0.0,0.0
1412,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1421,0.05,0.1,0.07,0.0,0.5,0.2,0.3,0.3,0.0,0.0,0.0,0.0
1423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1439,0.0,0.0,0.0,0.0,0.6,0.4,0.2,0.1,0.3,0.1,0.1,0.0
1449,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.2,0.0
1472,-999.0,-999.0,-999.0,-999.0,1.0,0.2,0.1,0.4,0.0,0.1,0.0,0.1
1477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0
1540,0.05,0.05,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0
1591,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.75,0.0,0.5,0.75,0.6
1592,0.0,0.05,0.5,0.6,0.05,0.7,0.4,0.75,0.0,0.0,0.1,0.0
1660,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0
1685,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5
1719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761,0.0,0.0,0.0,0.0,0.7,0.0,0.4,0.0,0.0,0.0,0.0,0.0
1771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1799,0.0,0.0,0.5,0.0,0.2,0.0,0.3,0.2,0.0,0.0,0.0,0.0
1805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1842,0.0,0.0,0.5,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0
1852,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1884,0.0,0.45,0.25,0.0,0.75,0.85,1.0,0.5,0.0,0.0,0.15,0.55
1892,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1914,0.25,0.0,0.25,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1929,0.0,0.3,0.5,0.7,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1931,0.25,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0
1955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.02
2039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2049,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2061,0.9,0.5,0.0,0.5,0.5,0.4,0.2,0.1,0.0,0.0,0.0,0.0
2086,0.0,0.0,0.0,0.0,0.2,0.2,0.25,0.2,0.0,0.0,0.0,0.0
2089,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.3,0.0,0.0
2136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2231,0.0,0.0,0.0,0.0,0.5,0.5,0.55,0.05,0.0,0.0,0.0,0.0
2306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2334,0.0,0.6,0.0,0.0,0.0,0.0,0.8,0.95,0.0,0.0,0.0,0.0
2362,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2365,0.2,0.25,0.2,0.25,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0
2367,0.2,0.1,0.3,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.1
2371,0.1,0.5,0.15,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2442,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.4,0.25,0.25,0.0,0.0
2447,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2454,0.01,0.01,0.01,0.01,0.3,0.3,0.3,0.2,0.02,0.4,0.1,0.4
2457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2465,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.5,0.5,0.0,0.25
2479,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
2487,0.0,0.0,0.0,0.0,0.2,0.3,0.5,0.1,0.0,0.0,0.0,0.0
2500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2502,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2528,0.5,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
2549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2596,0.25,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2598,0.0,0.0,0.0,0.0,0.85,0.6,0.1,0.25,0.0,0.0,0.0,0.0
2611,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2623,0.3,0.2,0.0,0.3,0.75,0.8,0.15,0.8,0.0,0.02,0.0,0.01
2636,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2659,0.25,0.3,0.5,0.0,0.5,0.2,0.35,0.5,0.0,0.0,0.0,0.0
2676,0.1,0.0,0.0,0.0,0.7,0.7,0.85,0.9,0.7,0.7,0.85,0.9
2685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2726,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0
2728,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
2745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2758,0.0,0.2,0.1,0.1,0.15,0.15,0.5,0.3,0.1,0.1,0.1,0.1
2768,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2783,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.45,0.0,0.0,0.1,0.0
2804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2866,-999.0,-999.0,-999.0,-999.0,0.2,0.2,0.45,0.3,0.3,0.1,0.5,0.0
2868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2869,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0
2870,0.1,0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
2874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2877,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.25,0.0,0.0,0.0,0.0
2894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2923,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.05,0.0
2958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3014,0.1,0.5,0.45,0.75,0.23,0.1,0.1,0.75,0.0,0.0,0.0,0.0
3018,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3076,0.0,0.0,0.5,0.7,0.25,0.1,0.15,0.2,0.4,0.25,0.2,0.25
3098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3103,0.0,0.0,0.5,0.8,0.5,0.8,0.0,0.5,0.0,0.0,0.0,0.0
3104,0.2,0.5,0.2,0.1,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0
3105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3144,0.0,0.0,0.1,0.0,0.8,0.8,0.1,0.9,0.0,0.0,0.0,0.0
3145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3153,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
3160,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
3197,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.1,0.4,0.0,0.1,0.1
3198,0.01,0.0,0.6,0.5,0.1,0.0,0.15,0.15,0.0,0.2,0.0,0.0
3201,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.0,0.0,0.0,0.0
3202,0.1,0.05,0.1,0.01,0.55,0.25,0.2,0.15,0.25,0.4,0.4,0.45
3214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,1.0,0.0
3235,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
3237,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0
3242,0.0,0.0,0.0,0.0,0.6,0.4,0.8,0.8,0.0,0.0,0.0,0.0
3254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3319,0.0,0.4,0.8,0.7,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.0
3326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
3330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3338,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
3340,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
3343,0.0,0.2,0.0,0.2,0.4,0.2,0.7,0.4,1.0,1.0,0.0,0.75
3362,0.1,0.05,0.0,0.0,0.05,0.04,0.1,0.0,0.05,0.05,0.05,0.05
3365,0.1,0.1,0.05,0.05,0.2,0.2,0.2,0.1,0.2,0.25,0.2,0.2
3381,0.5,0.01,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
